c,kappa_star,max_rel_ppm,rms_ppm
-0.00247,0.04449,1678.537485904439,903.8997141361484
-0.00247,0.04549,1678.5372030960953,902.6570229526002
-0.00247,0.04349,1678.5377687127832,905.8336105725562
-0.00237,0.04449,1609.8921420727122,868.7208802995139
-0.00237,0.04549,1609.8918592643681,867.4392331875396
-0.00237,0.04349,1609.8924248810563,870.0366474874426
-0.00257,0.04449,1747.1828297361662,939.8305342168956
-0.00257,0.04549,1747.1825469278222,938.6123873927194
-0.00257,0.04349,1747.18311254451,941.0804003115322
-0.0001666666666666667,0.065,417.7858274429122,194.64772890356983
