n,p_n,estimate,abs_error,rel_error_ppm
10000,104729,104690,-39,372.3896914894633
100000,1299709,1300252,543,417.7858274429122
1000000,15485863,15490400,4537,292.976891245906
10000000,179424673,179481332,56659,315.78154248607717
100000000,2038074743,2038426564,351821,172.6241891806811
1000000000,22801763489,22804083554,2320065,101.7493669346778
10000000000,252097800623,252111190087,13389464,53.11218093498282
100000000000,2760727302517,2760786304703,59002186,21.371971779395505
1000000000000,29996224275833,29996141844107,-82431726,2.74807006515192
10000000000000,323780508946331,323773339299693,-7169646638,22.143539959622526
100000000000000,3475385758524527,3475250447407819,-135311116708,38.934128787316624
1000000000000000,37124508045065437,37122492627294415,-2015417771022,54.28806675567214
10000000000000000,394906913903735329,394879705427653194,-27208476082135,68.89845460838777
100000000000000000,4185296581467695669,4184948445733719226,-348135733976443,83.18066048603875
1000000000000000000,44211790234832169331,44207483979969476168,-4306254862693163,97.40059924785604
